,date,reported,SR1 before (cm),SR1 after (cm),SR2 before (cm),SR2 after (cm),T1 before (cm),T1 after (cm),T2 before (cm),T2 after (cm),W1 before (cm),W1 after (cm),W2 before (cm),W2 after (cm),NewDepth1 (m),NewDepth2 (m),NewDepth3 (m),NewDepth4 (m),NewDepth5 (m),NewDepth6 (m),NewDepth7 (m),NewDepth8 (m),NewDepth9 (m),NewDepth10 (m),Unnamed: 24,Unnamed: 25
0,1997-04-22 13:00,,,,,,,,,,,,,,9.37,8.37,7.37,6.37,5.37,4.37,3.37,2.37,1.37,0.37,,
1,1999-04-22 13:00,y,,,,,180.0,335.0,290.0,445.0,180.0,345.0,290.0,455.0,,,,,,,,,,,,
2,2001-05-05 20:10,y,,,,,39.0,39.0,150.0,150.0,58.0,58.0,106.0,106.0,,,,,,,,,,,,
3,2003-05-01 13:00,y,,,,,71.0,71.0,,,84.0,84.0,,,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,,
4,2005-05-26 20:00,y,,,,,22.0,,134.0,,35.0,,140.0,,0.2,0.2,0.46,1.46,2.46,3.46,4.46,5.46,6.46,7.46,,
5,2007-07-14 01:00,,,,,,,,,,,,,,,,,,,,,,,,,
6,2009-05-16 18:00,,,,,,,,,,,,,,,,,,,,,,,,,
7,2011-05-30,N.Bayou,,408.0,,491.0,,,,,,347.0,,460.0,,,,,,,,,,,,
8,2014-05-25 20:00,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017-05-23 00:00,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-05-20,"by D. Houtz, raised tower",,,,,,,,,,,,,,,,,,,,,,,,
11,2021-06-21,"by J. Box, decommissioned",46.0,,,,-9.0,,,,0.0,,,,,,,,,,,,,,,
