t0,t1,variable,adjust_function,adjust_value,comment
19980421T16:00:00+00:00,,HS1,add,0.4,manual shift by bav
19990420T16:00:00+00:00,,HS1,add,1.9,manual shift by bav
20010605T16:00:00+00:00,,HS1,add,2.6,manual shift by bav
20020607T16:00:00+00:00,,HS1,add,0.5,manual shift by bav
20040611T16:00:00+00:00,,HS1,add,2.5,manual shift by bav
20050530T16:00:00+00:00,,HS1,add,2.5,manual shift by bav
20070522T16:00:00+00:00,,HS1,add,-2.5,manual shift by bav
20080428T16:00:00+00:00,,HS1,add,2.5,manual shift by bav
20130607T16:00:00+00:00,,HS1,add,4,manual shift by bav
20170907T16:00:00+00:00,,HS1,add,1.5,manual shift by bav

19990416T11:00:00+00:00,,HS2,add,2.5,manual shift by bav
20010523T16:00:00+00:00,,HS2,add,2.5,manual shift by bav
20020101T16:00:00+00:00,,HS2,add,-1,manual shift by bav
20040614T16:00:00+00:00,,HS2,add,2.5,manual shift by bav
20050327T16:00:00+00:00,,HS2,add,2.5,manual shift by bav
20100107T16:00:00+00:00,,HS2,add,4,manual shift by bav
20140521T16:00:00+00:00,,HS2,add,4,manual shift by bav
20180301T16:00:00+00:00,,HS2,add,2,manual shift by bav

19900101T00:00:00+00:00,,TA3,swap_with_TA4,0,https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/24

# calibration of OSWR with LiCor offset
2010-04-30T00:00:00+00:00,,OSWR,multiply,0.934, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/89

# air temp correction on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,air_temp_sonic_correction,0,
2009-05-15T00:00:00+00:00,,HW2,air_temp_sonic_correction,0,

# filters on HW1 and HW2
2009-05-15T00:00:00+00:00,,HW1,biweekly_upper_range_filter,0.5,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,biweekly_upper_range_filter,0.5,Manually filtered by bav

2009-05-15T00:00:00+00:00,,HW1,hampel_filter,2,Manually filtered by bav
2009-05-15T00:00:00+00:00,,HW2,hampel_filter,2,Manually filtered by bav


1996-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,RH1,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43
1996-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,RH2,ice_to_water,0, https://github.com/GEUS-Glaciology-and-Climate/GC-Net-level-1-data-processing/issues/43
